Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Piso en calle del Taquígraf Serra,1025.0,"Les Corts, Barcelona",Profesional,1.0,36.0,interior,1.0,0.0,
"Alquiler de Piso en calle d'Arizala, 32",1600.0,"La Maternitat i Sant Ramon, Barcelona",Particular,2.0,60.0,exterior,1.0,1.0,
"Alquiler de Piso en calle d'Arizala, 34",1600.0,"La Maternitat i Sant Ramon, Barcelona",Particular,2.0,80.0,interior,1.0,1.0,
Alquiler de Piso en Les Corts,2500.0,"Les Corts, Barcelona",Particular,4.0,140.0,exterior,6.0,1.0,Garage optional
"Alquiler de Piso en avenida d'Esplugues, 102",1788.0,"Pedralbes, Barcelona",Particular,1.0,19.0,interior,Bajo,1.0,
Alquiler de Piso en calle Gran de la Sagrera,1500.0,"La Sagrera, Barcelona",Profesional,1.0,45.0,,,1.0,
"Alquiler de Piso en plaza de Kobe, 16",1375.0,"La Sagrera, Barcelona",Profesional,2.0,56.0,exterior,1.0,1.0,Garage optional
Alquiler de Piso en calle de la Indústria,1500.0,"La Sagrera, Barcelona",Profesional,1.0,44.0,,,0.0,
"Alquiler de Piso en calle de Concepción Arenal, 128",2500.0,"La Sagrera, Barcelona",Profesional,4.0,90.0,exterior,6.0,1.0,
Alquiler de Piso en calle de la Indústria,1650.0,"La Sagrera, Barcelona",Profesional,1.0,45.0,,,0.0,
Alquiler de Piso en calle de Puerto Príncipe,1750.0,"El Congrés i els Indians, Barcelona",Profesional,1.0,40.0,exterior,3.0,1.0,
"Alquiler de Estudio en calle de les Acàcies, 13",813.0,"El Congrés i els Indians, Barcelona",Profesional,,28.0,exterior,1.0,0.0,
Alquiler de Piso en calle de Puerto Príncipe,1850.0,"El Congrés i els Indians, Barcelona",Profesional,1.0,65.0,exterior,2.0,1.0,Garage optional
Alquiler de Estudio en calle del Vallès,1100.0,"Sant Andreu, Barcelona",Profesional,,29.0,,,0.0,
"Alquiler de Piso en plaza de Kobe, 16",1485.0,"La Sagrera, Barcelona",Profesional,2.0,60.0,exterior,4.0,1.0,Garage optional
"Alquiler de Estudio en calle del Vallès, 5",2500.0,"Sant Andreu, Barcelona",Profesional,,35.0,,,0.0,
"Alquiler de Piso en plaza de Kobe, 16",1910.0,"La Sagrera, Barcelona",Profesional,3.0,98.0,exterior,4.0,1.0,Garage optional
Alquiler de Piso en paseo de Torras i Bages,966.0,"Sant Andreu, Barcelona",Profesional,2.0,64.0,exterior,3.0,1.0,
Alquiler de Piso en Sant Andreu,1545.0,"Sant Andreu, Barcelona",Profesional,2.0,99.0,interior,1.0,0.0,
"Alquiler de Piso en calle de Cienfuegos, 12",1400.0,"La Sagrera, Barcelona",Particular,2.0,56.0,exterior,Entreplanta,1.0,
"Alquiler de Piso en calle del Vallès, 5",2750.0,"Sant Andreu, Barcelona",Profesional,2.0,35.0,,1.0,0.0,
"Alquiler de Piso en calle del Vallès, 5",2200.0,"Sant Andreu, Barcelona",Profesional,1.0,35.0,,2.0,0.0,
Alquiler de Piso en calle de la Ciutat d'Elx,2904.0,"La Sagrera, Barcelona",Profesional,5.0,250.0,exterior,Entreplanta,1.0,
Alquiler de Piso en paseo Maragall,2100.0,"El Congrés i els Indians, Barcelona",Profesional,4.0,84.0,exterior,3.0,1.0,
"Alquiler de Estudio en calle del Vallès, 5",2300.0,"Sant Andreu, Barcelona",Profesional,,55.0,,3.0,0.0,
"Alquiler de Piso en calle del Cep, 9",1650.0,"El Congrés i els Indians, Barcelona",Profesional,3.0,80.0,exterior,1.0,1.0,
